Age,Country,EducationLevel,EducationOther,StudyField,StudyFieldOther,Familiarity,UsesAI,Frequency,Purpose,PurposeOther,Tools,ToolsOther,GPTVersion,GPTPaid,ImproveUnderstanding,ImprovePerformance,TimeStudying,UsageHours,ChangeApproach,DescribeChange,VerifyInfo,Dependency,Benefits,BenefitsOther,Challenge,ChallengeOther,AverageBefore,AverageAfter,YearStarted,HoursPW2021,HoursPW2022,HoursPW2023,HoursPW2024,Improvement2021,Improvement2022,Improvement2023,Improvement2024,LikelihoodContinueUsage,Q8CodingHelp,Q8ConceptUnderstanding,Q8OtherBinary,Q8ResearchAssistance,Q8StudyScheduling,Q8WritingAssistance,ChatGPT,Google Gemini,Jasper,Midjourney,Q9OtherBinary
25,Lebanon,Graduate student,,Engineering,,3,Yes,Weekly,"Writing assistance,Coding or technical help",,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably yes,Decreased,2,Yes,"Help you express your words in a finer or simpler form, using AI in studies makes research easier and less challenging either by giving the whole information needed or by planning your steps and giving directions. However, the answers are not always correct but rather according to majorities and previous chats and thus affecting the credibility of data.",Always,1,Better organization,,Dependency on AI,,92,90,2024,,,,0,,,,3,4,1,0,0,0,0,1,1,0,0,0,0
22,Lebanon,Graduate student,,Natural Sciences,,3,Yes,Rarely,"Research assistance,Writing assistance",,ChatGPT,,GPT-3.5 (Free),No,4,Definitely not,No change,1,Yes,Things got easier and more flexible ,Sometimes,1,Enhanced creativity,,Other (please specify),Accuracy of information ,72,73,2023,,,1,1,,,3,3,3,0,0,0,1,0,1,1,0,0,0,0
22,Lebanon ,Graduate student,,Business,,5,Yes,Monthly,Writing assistance,,ChatGPT,,GPT-3.5 (Free),Maybe,5,Probably yes,No change,23,Yes,Able to complete the assignment in a much more efficient time,Often,3,Increased understanding,,Reliability of information,,72,78,2022,,15,20,22,,3,4,5,5,0,0,0,0,0,1,1,0,0,0,0
22,Lebanon,Graduate student,,Business,,5,Yes,Daily,"Research assistance,Coding or technical help,Concept understanding",,ChatGPT,,GPT-4 (Paid),,4,Definitely yes,No change,5,Yes,Makes time consuming tasks way faster.,Always,3,Time-saving,,Reliability of information,,90,95,2023,,,2,5,,,2,4,5,1,1,0,1,0,0,1,0,0,0,0
21,Lebanon ,School student,,,,2,No,,Research assistance,,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably yes,Decreased,10,Yes,They help with understanding what methods to use in studying ,Sometimes,2,Increased understanding,,Dependency on AI,,,,2024,,,,10,,,,3,3,0,0,0,1,0,0,1,0,0,0,0
23,Lebanon,Graduate student,,Business,,3,Yes,Daily,Research assistance,,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Maybe,5,Probably yes,Increased,7,Yes,,Sometimes,3,Enhanced creativity,,Dependency on AI,,68,87,2022,,12,10,7,,9,9,9,3,0,0,0,1,0,0,1,1,0,0,0
29,Lebanon,Graduate student,,Business,,3,Yes,Weekly,"Research assistance,Writing assistance,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Maybe,4,Probably yes,Decreased,3,Yes,Getting information from different sources ,Often,3,Better organization,,Reliability of information,,76,66,2022,,1,3,3,,2,3,3,5,0,1,0,1,0,1,1,1,0,0,0
25,France,PhD student,,Business,,5,Yes,Weekly,"Research assistance,Coding or technical help",,ChatGPT,,I use both equally,,4,Probably yes,Decreased,4,No,,Always,2,Time-saving,,Reliability of information,,70,88,2022,,2,4,4,,3,4,4,5,1,0,0,1,0,0,1,0,0,0,0
25,Lebanon,Graduate student,,Other (please specify),Data science,4,No,,"Research assistance,Coding or technical help,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably yes,Decreased,7,No,,Sometimes,4,Time-saving,,Reliability of information,,,,2023,,,1,7,,,1,3,4,1,1,0,1,0,0,1,0,0,0,0
19,Lebanon,Undergraduate student,,Business,,3,Yes,Daily,"Writing assistance,Concept understanding",,ChatGPT,,GPT-4 (Paid),,3,Definitely yes,Decreased,1,Yes,I check my answers using ai,Often,2,Time-saving,,"Ethical concerns (e.g., plagiarism)",,87,93,2023,,,1,3,,,6,8,4,0,1,0,0,0,1,1,0,0,0,0
21,Lebanon,Graduate student,,Business,,4,Yes,Weekly,Research assistance,,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably yes,Decreased,1,No,,Often,2,Time-saving,,Reliability of information,,73,73,2024,,,,Idk,,,,2,4,0,0,0,1,0,0,1,0,0,0,0
30,Lebanon,Graduate student,,Computer Science,,5,Yes,Rarely,Study scheduling or organization,,"ChatGPT,Google Gemini",,GPT-3.5 (Free),No,4,Probably yes,Decreased,1,Yes,More organized,Rarely,4,Reduced stress,,Lack of guidance on usage,,,,2022,,2,1,1,,4,3,3,3,0,0,0,0,1,0,1,1,0,0,0
30,Lebanon,Graduate student,,Political Science / International relations,,2,No,,Research assistance,,ChatGPT,,GPT-3.5 (Free),No,4,Probably yes,Decreased,1,Yes,Better,Often,3,Increased understanding,,Reliability of information,,,,2022,,1,1,1,,2,3,4,3,0,0,0,1,0,0,1,0,0,0,0
22,Lebanon ,Undergraduate student,,Business,,3,No,,Study scheduling or organization,,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably yes,Decreased,20,Yes,Saved me a lot of time ,Sometimes,3,Time-saving,,Distraction,,,,2022,,5,12,20,,4,4,4,3,0,0,0,0,1,0,1,0,0,0,0
18,Lebanon,Undergraduate student,,Other (please specify),Bioinformatics,4,Yes,Weekly,"Writing assistance,Coding or technical help,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably not,Decreased,3,No,,Always,3,Time-saving,,Reliability of information,,75,89,2023,,,2,3,,,2,3,4,1,1,0,0,0,1,1,0,0,0,0
30,Lebanon ,Graduate student,,Medicine,,2,Yes,Monthly,"Research assistance,Writing assistance,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Maybe,5,Probably yes,Increased,1,Yes,,Always,3,Increased understanding,,Dependency on AI,,82,86,2023,,,0.5,1,,,4,5,5,0,1,0,1,0,1,1,0,0,0,0
17,Lebanon,School student,,,,3,Yes,Weekly,Study scheduling or organization,,ChatGPT,,GPT-3.5 (Free),Maybe,5,Probably yes,No change,3,Yes,i support my self with AI ,Sometimes,3,Better organization,,"Ethical concerns (e.g., plagiarism)",,27,79,2023,,,4,18,,,1,5,4,0,0,0,0,1,0,1,0,0,0,0
31,Lebanon,School student,,,,4,No,,Coding or technical help,,Google Gemini,,,,3,Definitely not,No change,,Yes,,Always,3,Reduced stress,,"Ethical concerns (e.g., plagiarism)",,,,2024,,,,14,,,,10,5,1,0,0,0,0,0,0,1,0,0,0
21,Lebanon,Graduate student,,Computer Science,,4,Yes,Daily,"Writing assistance,Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Yes,5,Probably yes,No change,10,Yes,,Sometimes,4,Enhanced creativity,,Dependency on AI,,79,82,2022,,1,5,8,,1,3,4,5,1,1,0,0,0,1,1,1,0,0,0
24,Lebanon,Graduate student,,Business,,4,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Study scheduling or organization,Concept understanding",,"ChatGPT,Google Gemini,Other (please specify)",Mistral,GPT-4 (Paid),,5,Probably yes,No change,4,Yes,They make things easier to understand,Often,3,Increased understanding,,"Ethical concerns (e.g., plagiarism)",,83,81,2023,,,2,5,,,3,4,4,1,1,0,1,1,1,1,1,0,0,1
19,Lebanon,Undergraduate student,,Business,,5,Yes,Daily,"Research assistance,Writing assistance,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Maybe,4,Probably yes,Decreased,30,Yes,better,Rarely,4,Better organization,,"Ethical concerns (e.g., plagiarism)",,85,90,2023,,,1,2,,,5,5,5,0,1,0,1,0,1,1,0,0,0,0
18,France,Undergraduate student,,Other (please specify),Law,4,Yes,Monthly,"Research assistance,Study scheduling or organization,Concept understanding",,ChatGPT,,I'm unsure which version I use,,3,Probably yes,No change,2,No,,Sometimes,2,Increased understanding,,Reliability of information,,70,70,2023,,,2,2,,,2,2,2,0,1,0,1,1,0,1,0,0,0,0
19,Lebanon,Undergraduate student,,Engineering,,4,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably yes,Decreased,7,Yes,Make it easier,Often,2,Time-saving,,"Ethical concerns (e.g., plagiarism)",,73,85,2023,,,5,7,,,3,4,4,1,1,0,1,0,1,1,0,0,0,0
22,Lebanon,Graduate student,,Fine Arts,,3,Yes,Rarely,Research assistance,,ChatGPT,,GPT-3.5 (Free),No,3,Unsure,No change,,Yes,,Always,2,Time-saving,,Reliability of information,,75,75,2024,,,,1,,,,3,3,0,0,0,1,0,0,1,0,0,0,0
28,Lebanon,Graduate student,,Business,,3,Yes,Weekly,Concept understanding,,ChatGPT,,GPT-3.5 (Free),Maybe,4,Probably yes,No change,1,No,,Often,2,Time-saving,,Reliability of information,,89,89,2024,,,,1,,,,3,4,0,1,0,0,0,0,1,0,0,0,0
19,Lebanon,Undergraduate student,,Engineering,,3,Yes,Daily,"Research assistance,Study scheduling or organization,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Yes,5,Probably yes,Decreased,1,Yes,Made understanding easier and prompts for assignments more linient,Sometimes,1,Increased understanding,,"Ethical concerns (e.g., plagiarism)",,87,87,2024,,,,1,,,,3,4,0,1,0,1,1,0,1,0,0,0,0
26,Lebanon,Graduate student,,Engineering,,4,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini,Midjourney",,GPT-3.5 (Free),Maybe,4,Probably yes,Decreased,4,Yes,Adding more discipline and consistency to the overall behavior,Sometimes,3,Time-saving,,Reliability of information,,90,90,2022,,4,6,4,,2,4,3,4,1,1,0,1,0,1,1,1,0,1,0
24,Lebanon,Graduate student,,Business,,3,Yes,Rarely,"Research assistance,Writing assistance",,ChatGPT,,GPT-3.5 (Free),Maybe,4,Probably yes,Decreased,3,Yes,Make it easy,Always,5,Time-saving,,Dependency on AI,,73,94,2023,,,.,.,,,.,.,4,0,0,0,1,0,1,1,0,0,0,0
29,Lebanon,Graduate student,,Business,,5,Yes,Daily,"Research assistance,Coding or technical help",,"ChatGPT,Google Gemini",,I use both equally,,4,Probably yes,Decreased,,Yes,,Always,1,Time-saving,,"Ethical concerns (e.g., plagiarism)",,90,90,2022,,10,15,15,,1,1,1,4,1,0,0,1,0,0,1,1,0,0,0
21,Lebanon,Graduate student,,Other (please specify),Economics ,5,Yes,Daily,"Writing assistance,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Maybe,4,Definitely yes,Increased,8,Yes,,Sometimes,3,Increased understanding,,Dependency on AI,,70,79,2023,,,4,8,,,3,4,4,0,1,0,0,0,1,1,1,0,0,0
29,Lebanon ,Graduate student,,Business,,4,Yes,Weekly,"Research assistance,Writing assistance",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),No,4,Probably yes,No change,3,Yes,Takes less time.,Sometimes,4,Time-saving,,Reliability of information,,80,85,2024,,,,3,,,,3,5,0,0,0,1,0,1,1,1,0,0,0
22,Lebanon,Undergraduate student,,Medicine,,3,Yes,Monthly,"Research assistance,Concept understanding,Other (please specify)",,ChatGPT,,I'm unsure which version I use,,4,Unsure,No change,1,Yes,,Sometimes,1,Time-saving,,Dependency on AI,,,,2023,,,1,1,,,1,1,2,0,1,1,1,0,0,1,0,0,0,0
21,Lebanon,Graduate student,,Computer Science,,5,Yes,Daily,"Research assistance,Coding or technical help,Study scheduling or organization",,"ChatGPT,Google Gemini",,GPT-4 (Paid),,4,Definitely yes,Decreased,7,Yes,,Sometimes,3,Time-saving,,Dependency on AI,,75,80,2021,3,3,5,7,2,2,3,4,4,1,0,0,1,1,0,1,1,0,0,0
21,Iran,Undergraduate student,,Medicine,,4,Yes,Daily,"Research assistance,Study scheduling or organization,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Yes,4,Definitely yes,Decreased,4,Yes,Simplifying hard concepts,Sometimes,2,Increased understanding,,Reliability of information,,80,85,2023,,,2,4,,,3,4,5,0,1,0,1,1,0,1,0,0,0,0
22,Lebanon,Undergraduate student,,Medicine,,4,Yes,Weekly,"Research assistance,Study scheduling or organization",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),No,4,Probably yes,Decreased,3,Yes,,Sometimes,2,Better organization,,Reliability of information,,73,81,2023,,,2,3,,,3,4,5,0,0,0,1,1,0,1,1,0,0,0
25,Lebanon,Graduate student,,Linguistics,,5,Yes,Weekly,"Research assistance,Writing assistance",,ChatGPT,,GPT-3.5 (Free),Yes,4,Probably yes,Decreased,6,Yes,,Often,3,Time-saving,,Reliability of information,,85,85,2023,,,4,6,,,3,4,5,0,0,0,1,0,1,1,0,0,0,0
23,Lebanon ,Undergraduate student,,Other (please specify),Dentistry ,2,Yes,Weekly,"Research assistance,Study scheduling or organization",,"ChatGPT,Other (please specify)",Gizmo,GPT-3.5 (Free),No,4,Probably yes,Decreased,4,Yes,Easier and rapid,Sometimes,1,Time-saving,,Other (please specify),Nothing ,70,75,2023,,,1,4,,,2,4,2,0,0,0,1,1,0,1,0,0,0,1
23,Lebanon,Undergraduate student,,Other (please specify),Nutrition ,3,Yes,Rarely,"Research assistance,Writing assistance",,ChatGPT,,GPT-3.5 (Free),No,2,Definitely not,No change,0,No,,Rarely,5,Time-saving,,"Ethical concerns (e.g., plagiarism)",,81,85,2022,,0,2,0,,1,3,1,2,0,0,0,1,0,1,1,0,0,0,0
37,Lebanon,Graduate student,,Business,,4,Yes,Daily,"Research assistance,Writing assistance,Concept understanding",,ChatGPT,,GPT-4 (Paid),,4,Probably yes,Increased,5,Yes,to get a wider point of view for a certain topic,Sometimes,3,Increased understanding,,Dependency on AI,,66,76,2024,,,,5,,,,3,4,0,1,0,1,0,1,1,0,0,0,0
22,Lebanon,Graduate student,,Business,,4,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),No,4,Probably yes,Decreased,2,Yes,"wehn i use ai for assignments i first write the answers that come to mind, then i check chatgpt for new info and check if what i said is correct",Often,3,Time-saving,,Reliability of information,,86,86,2022,,1,2,2,,3,3,3,4,1,1,0,1,0,1,1,1,0,0,0
23,Lebanon ,Graduate student,,Other (please specify),Biochemistry ,3,Yes,Rarely,"Research assistance,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Maybe,4,Probably yes,No change,,Yes,,Sometimes,3,Time-saving,,"Ethical concerns (e.g., plagiarism)",,55,60,2024,,,,3 hours ,,,,3,4,0,1,0,1,0,0,1,0,0,0,0
22,Lebanon,Graduate student,,Political Science / International relations,,5,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini",,GPT-4 (Paid),,5,Definitely yes,Decreased,3,Yes,Makes it easier,Always,3,Increased understanding,,Dependency on AI,,81,87,2023,,,6,4,,,5,5,5,1,1,0,1,0,1,1,1,0,0,0
27,Lebanon,Graduate student,,Business,,5,Yes,Daily,"Research assistance,Coding or technical help,Concept understanding",,ChatGPT,,GPT-4 (Paid),,5,Definitely yes,Decreased,6,Yes,Helpful,Always,5,Time-saving,,"Ethical concerns (e.g., plagiarism)",,80,85,2023,,,4,6,,,4,5,5,1,1,0,1,0,0,1,0,0,0,0
31,Lebanon,Graduate student,,Business,,5,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Maybe,5,Unsure,No change,,Yes,,Always,3,Time-saving,,Dependency on AI,,87,87,2023,,,,increased.,,,3,3,5,1,1,0,1,0,1,1,1,0,0,0
22,Lebanon ,Graduate student,,Business,,5,Yes,Weekly,"Research assistance,Coding or technical help,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Maybe,4,Probably yes,No change,4,No,,Always,1,Time-saving,,Reliability of information,,,,2021,0.5,2,2,4,1,3,3,4,4,1,1,0,1,0,0,1,1,0,0,0
30,Lebanon,Graduate student,,Business,,1,No,,Concept understanding,,ChatGPT,,GPT-3.5 (Free),Yes,3,Probably yes,Decreased,3,Yes,Excellent improvement ,Often,4,Time-saving,,Reliability of information,,,,2023,,,2,3,,,2,4,4,0,1,0,0,0,0,1,0,0,0,0
25,lebanon,Graduate student,,Business,,4,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Study scheduling or organization,Concept understanding",,ChatGPT,,GPT-4 (Paid),,4,Definitely yes,Decreased,3,Yes,,Always,3,Reduced stress,,"Ethical concerns (e.g., plagiarism)",,82,90,2023,,,,,,,,,3,1,1,0,1,1,1,1,0,0,0,0
21,Lebanon ,Graduate student,,Nursing,,2,Yes,Rarely,Writing assistance,,ChatGPT,,GPT-3.5 (Free),No,1,Definitely not,No change,,No,,Rarely,1,Time-saving,,"Ethical concerns (e.g., plagiarism)",,,,2023,,,,,,,,,2,0,0,0,0,0,1,1,0,0,0,0
21,Lebanon,Graduate student,,Business,,5,Yes,Weekly,"Research assistance,Writing assistance,Study scheduling or organization,Concept understanding",,"ChatGPT,Other (please specify)",Microsoft Capilot,GPT-3.5 (Free),No,4,Probably not,No change,1,Yes,,Sometimes,2,Time-saving,,Dependency on AI,,95,95,2023,,,0.5,1,,,0,0,5,0,1,0,1,1,1,1,0,0,0,1
20,lebanon,Graduate student,,Other (please specify),psychology,3,Yes,Monthly,"Research assistance,Concept understanding",,ChatGPT,,GPT-3.5 (Free),No,4,Unsure,Decreased,0,Yes,,Rarely,1,Increased understanding,,Reliability of information,,74,74,2024,,,,0,,,,0,2,0,1,0,1,0,0,1,0,0,0,0
23,Lebanon,Graduate student,,Other (please specify),Psychology ,2,No,,Research assistance,,ChatGPT,,I'm unsure which version I use,,3,Probably not,No change,0,No,,Never,1,Better organization,,Dependency on AI,,,,2024,,,,0,,,,0,2,0,0,0,1,0,0,1,0,0,0,0
27,Lebanon,Undergraduate student,,Social Sciences,,3,Yes,Monthly,"Research assistance,Writing assistance",,ChatGPT,,GPT-3.5 (Free),No,2,Probably not,No change,1,No,,Always,1,Better organization,,"Ethical concerns (e.g., plagiarism)",,83,83,2024,,,,1,,,,1,4,0,0,0,1,0,1,1,0,0,0,0
20,Lebanon,Undergraduate student,,Engineering,,5,Yes,Daily,"Research assistance,Writing assistance,Coding or technical help,Study scheduling or organization,Concept understanding",,ChatGPT,,I use both equally,,5,Definitely yes,Increased,,Yes,,Always,5,Time-saving,,Dependency on AI,,78,97,2022,,1,3,8,,1,3,5,5,1,1,0,1,1,1,1,0,0,0,0
27,Switzerland ,Graduate student,,Engineering,,5,Yes,Daily,"Writing assistance,Coding or technical help,Concept understanding",,"ChatGPT,Midjourney,Other (please specify)",Perplexity; Microsoft Copilot,GPT-3.5 (Free),Maybe,4,Probably yes,Decreased,10,Yes,I find coding less intimidating now. I can structure the code myself but have AI worry about syntax and debugging. Also for generating summaries of things i read for future reference (when doing literature review). I also use it to explain difficult concepts in papers (i can upload the paper itself and use it as the source of info so AI doesn't hallucinate),Often,4,Time-saving,,Other (please specify),Dependance in a way that prevents me from retaining info. Also the huge carbon and water footprint of AI servers. ,90,90,2022,,1,10,10,,1,3,3,5,1,1,0,0,0,1,1,0,0,1,1
20,Lebanon,Graduate student,,Business,,2,No,,"Research assistance,Writing assistance",,ChatGPT,,I'm unsure which version I use,,3,Unsure,No change,,Yes,,Sometimes,3,Reduced stress,,Reliability of information,,,,2023,,,,,,,,,,0,0,0,1,0,1,1,0,0,0,0
27,Lebanon,Graduate student,,Engineering,,4,Yes,Weekly,"Research assistance,Writing assistance,Concept understanding",,ChatGPT,,GPT-3.5 (Free),No,3,Probably yes,Decreased,2,Yes,I ask AI about a topic to get a general sense before diving into the details in other sources,Sometimes,3,Time-saving,,"Ethical concerns (e.g., plagiarism)",,80,84,2024,,,,2,,,,3,5,0,1,0,1,0,1,1,0,0,0,0
23,Lebanon,Graduate student,,Business,,5,Yes,Monthly,Concept understanding,,ChatGPT,,GPT-3.5 (Free),Maybe,3,Probably yes,No change,1.5,No,,Often,1,Increased understanding,,Other (please specify),none,93,93,2023,,,1.5,1.5,,,1,1,4,0,1,0,0,0,0,1,0,0,0,0
19,Lebanon ,Undergraduate student,,Computer Science,,4,Yes,Monthly,"Research assistance,Study scheduling or organization",,Google Gemini,,,,3,Unsure,No change,1,Yes,,Sometimes,2,Time-saving,,Dependency on AI,,75,75,2023,,,,,,,,,4,0,0,0,1,1,0,0,1,0,0,0
23,Lebanon,Graduate student,,Other (please specify),Economics,2,Yes,Monthly,Research assistance,,ChatGPT,,GPT-3.5 (Free),No,2,Probably not,No change,2,No,,Sometimes,2,Enhanced creativity,,Dependency on AI,,80,80,2022,,2-Mar,2-Mar,1-Feb,,3,3,2,2,0,0,0,1,0,0,1,0,0,0,0
19,Lebanon ,Undergraduate student,,Business,,4,Yes,Monthly,Research assistance,,"ChatGPT,Google Gemini",,GPT-3.5 (Free),No,3,Probably yes,Decreased,3,No,,Rarely,3,Time-saving,,Reliability of information,,73,73,2023,,,1,3,,,2,3,4,0,0,0,1,0,0,1,1,0,0,0
23,Lebanon,Graduate student,,Other (please specify),Life science and earth,3,No,,Writing assistance,,Other (please specify),,,,3,Probably yes,Decreased,1,Yes,,Sometimes,3,Time-saving,,Dependency on AI,,,,2024,,,,5 hrs,,,,3,4,0,0,0,0,0,1,0,0,0,0,1
25,Lebanon,Graduate student,,Medicine,,3,Yes,Rarely,"Writing assistance,Concept understanding",,ChatGPT,,I'm unsure which version I use,,3,Unsure,No change,1,Yes,It would facilitate and help,Rarely,3,Better organization,,Reliability of information,,85,85,2023,,,1,0.5,,,3,3,4,0,1,0,0,0,1,1,0,0,0,0
44,Lebanon,Graduate student,,Business,,3,Yes,Weekly,"Research assistance,Writing assistance,Coding or technical help",,"ChatGPT,Google Gemini,Other (please specify)",Claude,GPT-3.5 (Free),Maybe,3,Probably not,Decreased,5,Yes,I can look for a possible solution once the answer is not clear in my head,Always,3,Time-saving,,Reliability of information,,83,89,2024,,,,5,,,,4,5,1,0,0,1,0,1,1,1,0,0,1
24,Lebanon,Graduate student,,Computer Science,,5,Yes,Weekly,"Research assistance,Writing assistance,Coding or technical help,Study scheduling or organization,Concept understanding",,"ChatGPT,Google Gemini",,GPT-3.5 (Free),Maybe,5,Probably yes,Increased,3,Yes,It helps me understand the assignment to know my way to solve it ,Sometimes,3,Increased understanding,,Reliability of information,,62,81,2023,,,2.5,2.5,,,5,5,5,1,1,0,1,1,1,1,1,0,0,0
22,Lebanon,Graduate student,,Business,,4,Yes,Weekly,"Research assistance,Writing assistance,Coding or technical help,Study scheduling or organization,Concept understanding,Other (please specify)",,ChatGPT,,GPT-3.5 (Free),Yes,4,Definitely yes,Increased,1,Yes,It helped me so much in everything,Often,4,Time-saving,,Dependency on AI,,61,92,2023,,,1,1,,,3,4,4,1,1,1,1,1,1,1,0,0,0,0
38,Lebanon,Graduate student,,Business,,3,Yes,Weekly,"Research assistance,Writing assistance,Concept understanding",,ChatGPT,,GPT-3.5 (Free),Maybe,4,Probably yes,No change,5,Yes,I validate my answers.,Sometimes,3,Better organization,,Reliability of information,,88,88,2023,,,2,5,,,2,4,4,0,1,0,1,0,1,1,0,0,0,0
